;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
1;1;NA;Canis latrans;Vulpes macrotis;Canidae;Canidae;Canis;Vulpes;NA;1.666223758;11050;2088;Omnivore;Omnivore;Same_diet;-103.73431;26.68507;26.68507;Central/North America;Mexico;RBM;Andrade-Ponce_2020;4;60;1762;1;NA
2;1.115;1.011-1.787;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-42.5416665;-8.666667;8.666667;South America;Brazil;Serra da Capivara National Park;Astete_2017;14;58;15205;3.22;1291.4
3;1;0.96-0.104;Leopardus colocolo;Leopardus guigna;Felidae;Felidae;Leopardus;Leopardus;0.06888319;0.29334781;2950;2200;Carnivore;Carnivore;Same_diet;-71.15;-32.916667;32.916667;South America;Chile;LCPBR_spatial;Beltrami_2021;6;40;NA;2;240
4;1;NA;Leopardus colocolo;Leopardus guigna;Felidae;Felidae;Leopardus;Leopardus;0.06888319;0.29334781;2950;2200;Carnivore;Carnivore;Same_diet;-71.15;-32.916667;32.916667;South America;Chile;LCPBR_spatial;Beltrami_2021;6;40;NA;2;240
5;0.63;0.60-0.66;Leopardus colocolo;Leopardus guigna;Felidae;Felidae;Leopardus;Leopardus;0.06888319;0.29334781;2950;2200;Carnivore;Carnivore;Same_diet;-71.15;-32.916667;32.916667;South America;Chile;LCPBR_spatial;Beltrami_2021;6;40;NA;2;240
6;1.32;0.32;Puma concolor;Canis latrans;Felidae;Canidae;Puma;Canis;0.18174236;1.468770583;48000;11050;Carnivore;Omnivore;Diff_diet;-100.666667;33.75;33.75;Central/North America;United States;SANWR;Bender_2017;15;40;NA;3;231.54
7;1.38;0.32;Canis latrans;Lynx rufus;Canidae;Felidae;Canis;Lynx;0.18335724;0.161720739;11050;9400;Omnivore;Carnivore;Diff_diet;-100.666667;33.75;33.75;Central/North America;United States;SANWR;Bender_2017;15;40;NA;3;231.54
8;1.54;0.32;Puma concolor;Lynx rufus;Felidae;Felidae;Puma;Lynx;0.08207649;1.630491322;48000;9400;Carnivore;Carnivore;Same_diet;-100.666667;33.75;33.75;Central/North America;United States;SANWR;Bender_2017;15;40;NA;3;231.54
9;1;NA;Puma concolor;Eira barbara;Felidae;Mustelidae;Puma;Eira;NA;2.451716101;48000;4134.99;Carnivore;Omnivore;Diff_diet;-47.433023;-20.235535;20.235535;South America;Brazil;FBJSP;Bianchi_2021;8;57;7267.5;1;48.15
10;1.47;1.02-2.12;Leopardus pardalis;Herpailurus yagouaroundi;Felidae;Felidae;Leopardus;Herpailurus;0.09806851;0.405465108;10500;7000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
11;0.91;0.26-3.21;Panthera onca;Herpailurus yagouaroundi;Felidae;Felidae;Panthera;Herpailurus;0.110391895;2.450389145;81150;7000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
12;2.05;1.03-4.07;Puma concolor;Herpailurus yagouaroundi;Felidae;Felidae;Puma;Herpailurus;0.07460275;1.925290862;48000;7000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
13;0.93;0.53-1.63;Panthera onca;Leopardus pardalis;Felidae;Felidae;Panthera;Leopardus;0.10684136;2.044924037;81150;10500;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
14;1.01;0.50-2.03;Puma concolor;Leopardus pardalis;Felidae;Felidae;Puma;Leopardus;0.09369225;1.519825754;48000;10500;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
15;1.93;1.38-2.69;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
16;1;NA;Arctonyx collaris;Martes flavigula;Mustelidae;Mustelidae;Arctonyx;Martes;0.13234426;1.435084525;10500;2500;Omnivore;Carnivore;Diff_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
17;1;NA;Paguma larvata;Martes flavigula;Viverridae;Mustelidae;Paguma;Martes;0.18378666;0.542324291;4300;2500;Omnivore;Carnivore;Diff_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
18;1;NA;Prionailurus bengalensis;Martes flavigula;Felidae;Mustelidae;Prionailurus;Martes;0.181713445;0.506817602;4150;2500;Carnivore;Carnivore;Same_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
19;1;NA;Arctonyx collaris;Mustela sibirica;Mustelidae;Mustelidae;Arctonyx;Mustela;0.137095195;2.984651041;10500;530.85;Omnivore;Carnivore;Diff_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
20;1.52;NA;Martes flavigula;Mustela sibirica;Mustelidae;Mustelidae;Martes;Mustela;0.13130908;1.549566515;2500;530.85;Carnivore;Carnivore;Same_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
21;1;NA;Paguma larvata;Mustela sibirica;Viverridae;Mustelidae;Paguma;Mustela;0.179009935;2.091890806;4300;530.85;Omnivore;Carnivore;Diff_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
22;1;NA;Prionailurus bengalensis;Mustela sibirica;Felidae;Mustelidae;Prionailurus;Mustela;0.17973691;2.056384118;4150;530.85;Carnivore;Carnivore;Same_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
23;0.6;NA;Arctonyx collaris;Paguma larvata;Mustelidae;Viverridae;Arctonyx;Paguma;0.17756043;0.892760234;10500;4300;Omnivore;Omnivore;Same_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
24;1;NA;Arctonyx collaris;Prionailurus bengalensis;Mustelidae;Felidae;Arctonyx;Prionailurus;0.181365985;0.928266923;10500;4150;Omnivore;Carnivore;Diff_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
25;1;NA;Paguma larvata;Prionailurus bengalensis;Viverridae;Felidae;Paguma;Prionailurus;0.14225069;0.035506688;4300;4150;Omnivore;Carnivore;Diff_diet;102.627807;31.479088;31.479088;Asia;China;Sichuan and Gansu Provinces;Bu_2016;48;495;23313;0.3;NA
26;-6.19491783;NA;Canis aureus;Vulpes bengalensis;Canidae;Canidae;Canis;Vulpes;NA;1.629084188;11000;2157.2;Carnivore;Omnivore;Diff_diet;74.5954;18.1492;18.1492;Asia;India;Maharashtra;Carricondo-Sanchez_2019;1.5;40;233;2;230
27;0.95;NA;Panthera pardus;Herpestes urva;Felidae;Herpestidae;Panthera;Herpestes;NA;3.218548417;53074.995;2123.695;Carnivore;Omnivore;Diff_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
28;1.59;NA;Panthera tigris;Herpestes urva;Felidae;Herpestidae;Panthera;Herpestes;NA;4.105103318;128800;2123.695;Carnivore;Omnivore;Diff_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
29;0.8;NA;Panthera pardus;Martes flavigula;Felidae;Mustelidae;Panthera;Martes;0.18773087;3.055415182;53074.995;2500;Carnivore;Carnivore;Same_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
30;0.66;NA;Panthera tigris;Martes flavigula;Felidae;Mustelidae;Panthera;Martes;0.189173325;3.941970082;128800;2500;Carnivore;Carnivore;Same_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
31;0.53;NA;Panthera pardus;Paguma larvata;Felidae;Viverridae;Panthera;Paguma;0.15630416;2.513090891;53074.995;4300;Carnivore;Omnivore;Diff_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
32;0.87;NA;Panthera tigris;Paguma larvata;Felidae;Viverridae;Panthera;Paguma;0.155520005;3.399645791;128800;4300;Carnivore;Omnivore;Diff_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
33;0.4;NA;Panthera pardus;Paradoxurus hermaphroditus;Felidae;Viverridae;Panthera;Paradoxurus;0.15674026;2.814824717;53074.995;3180;Carnivore;Omnivore;Diff_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
34;1.03;NA;Panthera tigris;Paradoxurus hermaphroditus;Felidae;Viverridae;Panthera;Paradoxurus;0.159491955;3.701379617;128800;3180;Carnivore;Omnivore;Diff_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
35;1.06;NA;Panthera pardus;Prionailurus bengalensis;Felidae;Felidae;Panthera;Prionailurus;0.10883646;2.548597579;53074.995;4150;Carnivore;Carnivore;Same_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
36;1;NA;Panthera tigris;Prionailurus bengalensis;Felidae;Felidae;Panthera;Prionailurus;0.110834738;3.435152479;128800;4150;Carnivore;Carnivore;Same_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
37;0.97;NA;Panthera pardus;Viverra zibetha;Felidae;Viverridae;Panthera;Viverra;0.14758445;1.66912082;53074.995;10000;Carnivore;Carnivore;Same_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
38;0.96;NA;Panthera tigris;Viverra zibetha;Felidae;Viverridae;Panthera;Viverra;0.14804655;2.555675721;128800;10000;Carnivore;Carnivore;Same_diet;98.974908;15.733124;15.733124;Asia;Thailand;Thung Yai Naresuan Wildlife Sanctuary;Chutipong_2017;16;155;9473;0.4805;108.5
39;0.977;0.946-1.007;Cynictis penicillata;Herpestes sanguineus;Herpestidae;Herpestidae;Cynictis;Herpestes;NA;0.160408033;598.5;509.8;Insectivore;Omnivore;Diff_diet;28.08747;-26.28618;26.28618;Africa;South Africa;MNA_Eco-Estate;Cronk_2020;11;66;NA;NA;480
40;0.748;0.609-0.887;Cynictis penicillata;Herpestes sanguineus;Herpestidae;Herpestidae;Cynictis;Herpestes;NA;0.160408033;598.5;509.8;Insectivore;Omnivore;Diff_diet;28.09659;-26.29193;26.29193;Africa;South Africa;MNA_Nature Estate;Cronk_2020;11;66;NA;NA;300
41;1;0;Meles meles;Martes foina;Mustelidae;Mustelidae;Meles;Martes;0.13258649;1.944567231;11884.03;1700;Omnivore;Omnivore;Same_diet;-7.19973;39.68055;39.68055;Europe;Portugal;Castelo Branco;Cruz_2015;4;26;1742;0.5;NA
42;1;0;Vulpes vulpes;Martes foina;Canidae;Mustelidae;Vulpes;Martes;0.18685684;1.494924526;7580.3;1700;Carnivore;Omnivore;Diff_diet;-7.19973;39.68055;39.68055;Europe;Portugal;Castelo Branco;Cruz_2015;4;26;1742;0.5;NA
43;1.07;0.06;Meles meles;Vulpes vulpes;Mustelidae;Canidae;Meles;Vulpes;0.1882578;0.449642705;11884.03;7580.3;Omnivore;Carnivore;Diff_diet;-7.19973;39.68055;39.68055;Europe;Portugal;Castelo Branco;Cruz_2015;4;26;1742;0.5;NA
44;0.47;0.37-0.58;Leopardus pardalis;Leopardus guttulus;Felidae;Felidae;Leopardus;Leopardus;NA;1.540445041;10500;2250;Carnivore;Carnivore;Same_diet;-54.2585;-25.9312;25.9312;South America;Argentina;Misiones;Cruz_2018;NA;184;9171.8;NA;3800
45;1.018;1.006-1.362;Puma concolor;Leopardus pardalis;Felidae;Felidae;Puma;Leopardus;0.09369225;1.519825754;48000;10500;Carnivore;Carnivore;Same_diet;-54.132424;-26.520253;26.520253;South America;Argentina;Di_General_road;Di Bitetti_2010;38;NA;NA;1;1868
46;0.372;0.315-0.986;Puma concolor;Leopardus pardalis;Felidae;Felidae;Puma;Leopardus;0.09369225;1.519825754;48000;10500;Carnivore;Carnivore;Same_diet;-54.132424;-26.520253;26.520253;South America;Argentina;Di_General_trail;Di Bitetti_2010;38;NA;NA;1;1868
47;0.22;NA;Viverricula indica;Eupleres goudotii;Viverridae;Eupleridae;Viverricula;Eupleres;0.150916843;0.026630074;2959.44;2881.67;Omnivore;Insectivore;Diff_diet;50.108267;-15.606988;15.606988;Africa;Madagascar;Makira_Masoala region;Farris_2020;27.4;154;15253;0.5;NA
48;0.5;NA;Viverricula indica;Fossa fossana;Viverridae;Eupleridae;Viverricula;Fossa;0.14259268;0.467665382;2959.44;1853.98;Omnivore;Omnivore;Same_diet;50.108267;-15.606988;15.606988;Africa;Madagascar;Makira_Masoala region;Farris_2020;27.4;154;15253;0.5;NA
49;0.26;NA;Viverricula indica;Galidia elegans;Viverridae;Eupleridae;Viverricula;Galidia;0.15368489;1.308143613;2959.44;800;Omnivore;Carnivore;Diff_diet;50.108267;-15.606988;15.606988;Africa;Madagascar;Makira_Masoala region;Farris_2020;27.4;154;15253;0.5;NA
50;0.21;NA;Viverricula indica;Galidictis fasciata;Viverridae;Eupleridae;Viverricula;Galidictis;0.150072273;1.682855244;2959.44;549.99;Omnivore;Omnivore;Same_diet;50.108267;-15.606988;15.606988;Africa;Madagascar;Makira_Masoala region;Farris_2020;27.4;154;15253;0.5;NA
51;0.725274725;NA;Canis lupus;Canis latrans;Canidae;Canidae;Canis;Canis;0.04195423;0.971421622;29190.755;11050;Carnivore;Omnivore;Diff_diet;-88.029951;46.187292;46.187292;Central/North America;United States;Upper Peninsula of Michigan;Fowler_2021;1;348;NA;1.6;NA
52;0.637023593;NA;Canis latrans;Vulpes vulpes;Canidae;Canidae;Canis;Vulpes;0.13633609;0.376877651;11050;7580.3;Omnivore;Carnivore;Diff_diet;-88.029951;46.187292;46.187292;Central/North America;United States;Peninsula of Michigan;Fowler_2021;1;348;NA;1.6;NA
53;4.697183099;NA;Canis lupus;Vulpes vulpes;Canidae;Canidae;Canis;Vulpes;0.13683737;1.348299273;29190.755;7580.3;Carnivore;Carnivore;Same_diet;-88.029951;46.187292;46.187292;Central/North America;United States;Upper Peninsula of Michigan;Fowler_2021;1;348;NA;1.6;NA
54;1;NA;Lycalopex culpaeus;Leopardus geoffroyi;Canidae;Felidae;Lycalopex;Leopardus;NA;1.178654996;13000;4000;Carnivore;Carnivore;Same_diet;-71.503068;-41.233655;41.233655;South America;Argentina;Nahuel Huapi National Park;Gantchoff_2016;6;80;1680;1;NA
55;1.03;NA;Canis lupaster;Genetta genetta;Canidae;Viverridae;Canis;Genetta;NA;NA;NA;1866.67;NA;Carnivore;Diff_diet;-5.754467;32.390267;32.390267;Africa;Morocco;Middle Atlas_Morocco;Gil-Sanchez_2021;3;21;1019;NA;100
56;0.91;NA;Vulpes vulpes;Genetta genetta;Canidae;Viverridae;Vulpes;Genetta;0.18759617;1.401396682;7580.3;1866.67;Carnivore;Carnivore;Same_diet;-5.754467;32.390267;32.390267;Africa;Morocco;Middle Atlas_Morocco;Gil-Sanchez_2021;3;21;1019;NA;100
57;1.05;NA;Canis lupaster;Vulpes vulpes;Canidae;Canidae;Canis;Vulpes;NA;NA;NA;7580.3;NA;Carnivore;Diff_diet;-5.754467;32.390267;32.390267;Africa;Morocco;Middle Atlas_Morocco;Gil-Sanchez_2021;3;21;1019;NA;100
58;0.976;0.757-1.195;Martes pennanti;Martes americana;Mustelidae;Mustelidae;Martes;Martes;0.11111986;1.269596779;3175;892;Carnivore;Omnivore;Diff_diet;-74.64;44.53;44.53;Central/North America;United States;ASP;Gompper_2015;1;162;NA;1.5;NA
59;0.1189;0.667-0.71;Procyon lotor;Martes americana;Procyonidae;Mustelidae;Procyon;Martes;0.168062085;1.738615671;5075;892;Omnivore;Omnivore;Same_diet;-74.64;44.53;44.53;Central/North America;United States;ASP;Gompper_2015;1;162;NA;1.5;NA
60;1.053;0.938-1.168;Procyon lotor;Martes pennanti;Procyonidae;Mustelidae;Procyon;Martes;0.16984928;0.469018893;5075;3175;Omnivore;Carnivore;Diff_diet;-74.64;44.53;44.53;Central/North America;United States;ASP;Gompper_2015;1;162;NA;1.5;NA
61;1.012;0.899-1.125;Procyon lotor;Martes pennanti;Procyonidae;Mustelidae;Procyon;Martes;0.16984928;0.469018893;5075;3175;Omnivore;Carnivore;Diff_diet;-74.64;44.53;44.53;Central/North America;United States;ASP;Gompper_2015;1;162;NA;1.5;NA
62;0.95;0.857-1.043;Ursus americanus;Martes pennanti;Ursidae;Mustelidae;Ursus;Martes;0.18520536;3.730557775;132405;3175;Herbivore;Carnivore;Diff_diet;-74.64;44.53;44.53;Central/North America;United States;ASP;Gompper_2015;1;162;NA;1.5;NA
63;0.938;0.826-1.05;Ursus americanus;Procyon lotor;Ursidae;Procyonidae;Ursus;Procyon;0.187302025;3.261538882;132405;5075;Herbivore;Omnivore;Diff_diet;-74.64;44.53;44.53;Central/North America;United States;ASP;Gompper_2015;1;162;NA;1.5;NA
64;3.53;2.94-4.12;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-109.11;29.37;29.37;Central/North America;Mexico;Northen Jaguar Reserve_2009;Gutierrez-Gonzalez_2017;1;76;NA;1;330
65;1.09;1.06-1.12;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-109.11;29.37;29.37;Central/North America;Mexico;Northen Jaguar Reserve_2010;Gutierrez-Gonzalez_2017;1;108;NA;1;330
66;1;NA;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-109.11;29.37;29.37;Central/North America;Mexico;Northen Jaguar Reserve_2011;Gutierrez-Gonzalez_2017;1;97;NA;1;330
67;3.53;2.94-4.12;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-109.11;29.37;29.37;Central/North America;Mexico;Northen Jaguar Reserve_2012;Gutierrez-Gonzalez_2017;1;119;NA;1;330
68;1.3169;0.7156-1.9183;Vulpes vulpes;Genetta genetta;Canidae;Viverridae;Vulpes;Genetta;0.18759617;1.401396682;7580.3;1866.67;Carnivore;Carnivore;Same_diet;1.9904;41.666;41.666;Europe;Spain;SLMONP_winter-spring;Hernandez-Puentes_2022;2;36;252;2.5;81
69;1.2665;0.7560-1.7770;Genetta genetta;Martes foina;Viverridae;Mustelidae;Genetta;Martes;0.18403971;0.093527844;1866.67;1700;Carnivore;Omnivore;Diff_diet;1.9904;41.666;41.666;Europe;Spain;SLMONP_winter-spring;Hernandez-Puentes_2022;2;36;252;2.5;81
70;0.3276;0.1280-0.5924;Vulpes vulpes;Martes foina;Canidae;Mustelidae;Vulpes;Martes;0.18685684;1.494924526;7580.3;1700;Carnivore;Omnivore;Diff_diet;1.9904;41.666;41.666;Europe;Spain;SLMONP_winter-spring;Hernandez-Puentes_2022;2;36;252;2.5;81
